Finland, Deaths (period 1x10), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1878-1879        0             10788.00        13079.00        23867.00
1878-1879        1              3914.00         4034.00         7948.00
1878-1879        2              2153.00         2042.00         4195.00
1878-1879        3              1331.00         1305.00         2636.00
1878-1879        4               998.00          905.00         1903.00
1878-1879        5               657.00          633.00         1290.00
1878-1879        6               489.00          464.00          953.00
1878-1879        7               405.00          381.00          786.00
1878-1879        8               324.00          294.00          618.00
1878-1879        9               229.00          216.00          445.00
1878-1879       10               191.00          175.00          366.00
1878-1879       11               154.00          160.00          314.00
1878-1879       12               161.00          161.00          322.00
1878-1879       13               164.00          140.00          304.00
1878-1879       14               196.00          163.00          359.00
1878-1879       15               206.00          195.00          401.00
1878-1879       16               192.00          169.00          361.00
1878-1879       17               200.00          172.00          372.00
1878-1879       18               188.00          212.00          400.00
1878-1879       19               194.00          226.00          420.00
1878-1879       20               214.00          262.00          476.00
1878-1879       21               207.00          225.00          432.00
1878-1879       22               230.00          257.00          487.00
1878-1879       23               202.00          222.00          424.00
1878-1879       24               214.00          259.00          473.00
1878-1879       25               209.00          245.00          454.00
1878-1879       26               234.00          280.00          514.00
1878-1879       27               244.00          230.00          474.00
1878-1879       28               250.00          235.00          485.00
1878-1879       29               206.00          245.00          451.00
1878-1879       30               265.00          263.00          528.00
1878-1879       31               240.00          229.00          469.00
1878-1879       32               230.00          201.00          431.00
1878-1879       33               236.00          214.00          450.00
1878-1879       34               263.00          232.00          495.00
1878-1879       35               261.00          269.00          530.00
1878-1879       36               278.00          238.00          516.00
1878-1879       37               254.00          241.00          495.00
1878-1879       38               247.00          262.00          509.00
1878-1879       39               231.00          246.00          477.00
1878-1879       40               251.00          261.00          512.00
1878-1879       41               218.00          240.00          458.00
1878-1879       42               223.00          245.00          468.00
1878-1879       43               234.00          236.00          470.00
1878-1879       44               212.00          245.00          457.00
1878-1879       45               187.00          217.00          404.00
1878-1879       46               201.00          235.00          436.00
1878-1879       47               213.00          227.00          440.00
1878-1879       48               209.00          287.00          496.00
1878-1879       49               212.00          302.00          514.00
1878-1879       50               249.00          320.00          569.00
1878-1879       51               291.00          352.00          643.00
1878-1879       52               280.00          317.00          597.00
1878-1879       53               281.00          339.00          620.00
1878-1879       54               266.00          317.00          583.00
1878-1879       55               319.00          311.00          630.00
1878-1879       56               326.00          379.00          705.00
1878-1879       57               368.00          376.00          744.00
1878-1879       58               341.00          383.00          724.00
1878-1879       59               332.00          356.00          688.00
1878-1879       60               441.00          451.00          892.00
1878-1879       61               413.00          440.00          853.00
1878-1879       62               444.00          440.00          884.00
1878-1879       63               431.00          391.00          822.00
1878-1879       64               419.00          402.00          821.00
1878-1879       65               409.00          387.00          796.00
1878-1879       66               421.00          384.00          805.00
1878-1879       67               463.00          370.00          833.00
1878-1879       68               463.00          359.00          822.00
1878-1879       69               385.00          325.00          710.00
1878-1879       70               342.00          301.00          643.00
1878-1879       71               366.00          297.00          663.00
1878-1879       72               447.00          335.00          782.00
1878-1879       73               413.00          368.00          781.00
1878-1879       74               420.00          372.00          792.00
1878-1879       75               436.00          319.00          755.00
1878-1879       76               410.00          274.00          684.00
1878-1879       77               418.00          291.00          709.00
1878-1879       78               388.00          284.00          672.00
1878-1879       79               310.00          208.00          518.00
1878-1879       80               330.00          223.00          553.00
1878-1879       81               270.00          183.00          453.00
1878-1879       82               238.00          170.00          408.00
1878-1879       83               214.00          136.00          350.00
1878-1879       84               194.00          123.00          317.00
1878-1879       85               149.00          100.00          249.00
1878-1879       86               101.00           65.00          166.00
1878-1879       87                81.00           47.00          128.00
1878-1879       88                62.00           44.00          106.00
1878-1879       89                52.00           17.00           69.00
1878-1879       90                40.00           14.00           54.00
1878-1879       91                28.00           15.00           43.00
1878-1879       92                20.00           11.00           31.00
1878-1879       93                12.00            4.00           16.00
1878-1879       94                 4.00            0.00            4.00
1878-1879       95                 2.00            1.00            3.00
1878-1879       96                 7.00            1.00            8.00
1878-1879       97                 4.00            1.00            5.00
1878-1879       98                 0.00            0.00            0.00
1878-1879       99                 0.00            0.00            0.00
1878-1879      100                 1.00            0.00            1.00
1878-1879      101                 0.00            0.00            0.00
1878-1879      102                 0.00            0.00            0.00
1878-1879      103                 0.00            0.00            0.00
1878-1879      104                 0.00            0.00            0.00
1878-1879      105                 0.00            0.00            0.00
1878-1879      106                 0.00            0.00            0.00
1878-1879      107                 0.00            0.00            0.00
1878-1879      108                 0.00            0.00            0.00
1878-1879      109                 0.00            0.00            0.00
1878-1879      110+                0.00            0.00            0.00
1880-1889        0             53241.00        66258.00       119499.00
1880-1889        1             18268.00        20131.00        38399.00
1880-1889        2             10390.00        11229.00        21619.00
1880-1889        3              7357.00         7627.00        14984.00
1880-1889        4              5312.00         5590.00        10902.00
1880-1889        5              4001.00         4094.00         8095.00
1880-1889        6              2950.00         3147.00         6097.00
1880-1889        7              2430.00         2340.00         4770.00
1880-1889        8              1836.00         1895.00         3731.00
1880-1889        9              1428.00         1599.00         3027.00
1880-1889       10              1294.00         1337.00         2631.00
1880-1889       11              1086.00         1157.00         2243.00
1880-1889       12              1035.00         1021.00         2056.00
1880-1889       13               982.00          837.00         1819.00
1880-1889       14               952.00          858.00         1810.00
1880-1889       15              1015.00          768.00         1783.00
1880-1889       16              1094.00          891.00         1985.00
1880-1889       17              1061.00          921.00         1982.00
1880-1889       18              1087.00         1055.00         2142.00
1880-1889       19              1066.00         1208.00         2274.00
1880-1889       20              1119.00         1264.00         2383.00
1880-1889       21              1079.00         1394.00         2473.00
1880-1889       22              1192.00         1393.00         2585.00
1880-1889       23              1203.00         1365.00         2568.00
1880-1889       24              1205.00         1276.00         2481.00
1880-1889       25              1303.00         1313.00         2616.00
1880-1889       26              1213.00         1277.00         2490.00
1880-1889       27              1212.00         1247.00         2459.00
1880-1889       28              1209.00         1192.00         2401.00
1880-1889       29              1140.00         1190.00         2330.00
1880-1889       30              1295.00         1164.00         2459.00
1880-1889       31              1321.00         1233.00         2554.00
1880-1889       32              1316.00         1218.00         2534.00
1880-1889       33              1343.00         1199.00         2542.00
1880-1889       34              1251.00         1234.00         2485.00
1880-1889       35              1317.00         1201.00         2518.00
1880-1889       36              1346.00         1296.00         2642.00
1880-1889       37              1356.00         1261.00         2617.00
1880-1889       38              1354.00         1262.00         2616.00
1880-1889       39              1307.00         1357.00         2664.00
1880-1889       40              1306.00         1455.00         2761.00
1880-1889       41              1401.00         1351.00         2752.00
1880-1889       42              1256.00         1326.00         2582.00
1880-1889       43              1343.00         1398.00         2741.00
1880-1889       44              1262.00         1363.00         2625.00
1880-1889       45              1215.00         1521.00         2736.00
1880-1889       46              1148.00         1402.00         2550.00
1880-1889       47              1173.00         1472.00         2645.00
1880-1889       48              1233.00         1425.00         2658.00
1880-1889       49              1246.00         1436.00         2682.00
1880-1889       50              1244.00         1595.00         2839.00
1880-1889       51              1348.00         1501.00         2849.00
1880-1889       52              1358.00         1619.00         2977.00
1880-1889       53              1382.00         1660.00         3042.00
1880-1889       54              1464.00         1635.00         3099.00
1880-1889       55              1619.00         1863.00         3482.00
1880-1889       56              1738.00         1955.00         3693.00
1880-1889       57              1817.00         1847.00         3664.00
1880-1889       58              1805.00         2073.00         3878.00
1880-1889       59              1976.00         2006.00         3982.00
1880-1889       60              2104.00         2262.00         4366.00
1880-1889       61              2120.00         2204.00         4324.00
1880-1889       62              2237.00         2299.00         4536.00
1880-1889       63              2408.00         2224.00         4632.00
1880-1889       64              2427.00         2390.00         4817.00
1880-1889       65              2635.00         2407.00         5042.00
1880-1889       66              2572.00         2374.00         4946.00
1880-1889       67              2701.00         2417.00         5118.00
1880-1889       68              2698.00         2407.00         5105.00
1880-1889       69              2597.00         2247.00         4844.00
1880-1889       70              2824.00         2438.00         5262.00
1880-1889       71              2511.00         2168.00         4679.00
1880-1889       72              2611.00         2035.00         4646.00
1880-1889       73              2436.00         1916.00         4352.00
1880-1889       74              2328.00         1860.00         4188.00
1880-1889       75              2328.00         1791.00         4119.00
1880-1889       76              2158.00         1727.00         3885.00
1880-1889       77              2032.00         1516.00         3548.00
1880-1889       78              1990.00         1402.00         3392.00
1880-1889       79              1802.00         1249.00         3051.00
1880-1889       80              1629.00         1170.00         2799.00
1880-1889       81              1542.00         1031.00         2573.00
1880-1889       82              1390.00          900.00         2290.00
1880-1889       83              1220.00          799.00         2019.00
1880-1889       84              1017.00          672.00         1689.00
1880-1889       85               836.00          543.00         1379.00
1880-1889       86               718.00          434.00         1152.00
1880-1889       87               592.00          329.00          921.00
1880-1889       88               489.00          280.00          769.00
1880-1889       89               392.00          138.00          530.00
1880-1889       90               240.00          126.00          366.00
1880-1889       91               180.00           98.00          278.00
1880-1889       92               151.00           59.00          210.00
1880-1889       93                83.00           33.00          116.00
1880-1889       94                58.00           17.00           75.00
1880-1889       95                41.00            6.00           47.00
1880-1889       96                27.00            8.00           35.00
1880-1889       97                17.00            4.00           21.00
1880-1889       98                12.00            6.00           18.00
1880-1889       99                 6.00            4.00           10.00
1880-1889      100                 6.00            1.00            7.00
1880-1889      101                 2.00            1.00            3.00
1880-1889      102                 1.00            1.00            2.00
1880-1889      103                 0.00            0.00            0.00
1880-1889      104                 0.00            0.00            0.00
1880-1889      105                 0.00            0.00            0.00
1880-1889      106                 0.00            0.00            0.00
1880-1889      107                 0.00            0.00            0.00
1880-1889      108                 0.00            0.00            0.00
1880-1889      109                 0.00            0.00            0.00
1880-1889      110+                0.00            0.00            0.00
1890-1899        0             50515.00        63143.00       113658.00
1890-1899        1             17868.00        19624.00        37492.00
1890-1899        2              9827.00        10514.00        20341.00
1890-1899        3              6790.00         7077.00        13867.00
1890-1899        4              4888.00         5028.00         9916.00
1890-1899        5              3689.00         3702.00         7391.00
1890-1899        6              2794.00         2903.00         5697.00
1890-1899        7              2261.00         2301.00         4562.00
1890-1899        8              1887.00         1932.00         3819.00
1890-1899        9              1650.00         1667.00         3317.00
1890-1899       10              1450.00         1438.00         2888.00
1890-1899       11              1292.00         1224.00         2516.00
1890-1899       12              1176.00         1108.00         2284.00
1890-1899       13              1167.00         1008.00         2175.00
1890-1899       14              1240.00         1005.00         2245.00
1890-1899       15              1306.00          991.00         2297.00
1890-1899       16              1337.00         1046.00         2383.00
1890-1899       17              1366.00         1129.00         2495.00
1890-1899       18              1349.00         1312.00         2661.00
1890-1899       19              1314.00         1380.00         2694.00
1890-1899       20              1361.00         1636.00         2997.00
1890-1899       21              1272.00         1583.00         2855.00
1890-1899       22              1284.00         1505.00         2789.00
1890-1899       23              1234.00         1422.00         2656.00
1890-1899       24              1197.00         1329.00         2526.00
1890-1899       25              1269.00         1343.00         2612.00
1890-1899       26              1280.00         1336.00         2616.00
1890-1899       27              1280.00         1337.00         2617.00
1890-1899       28              1274.00         1337.00         2611.00
1890-1899       29              1168.00         1272.00         2440.00
1890-1899       30              1335.00         1184.00         2519.00
1890-1899       31              1193.00         1181.00         2374.00
1890-1899       32              1266.00         1313.00         2579.00
1890-1899       33              1348.00         1289.00         2637.00
1890-1899       34              1245.00         1254.00         2499.00
1890-1899       35              1330.00         1317.00         2647.00
1890-1899       36              1390.00         1368.00         2758.00
1890-1899       37              1329.00         1292.00         2621.00
1890-1899       38              1245.00         1357.00         2602.00
1890-1899       39              1289.00         1374.00         2663.00
1890-1899       40              1342.00         1382.00         2724.00
1890-1899       41              1330.00         1355.00         2685.00
1890-1899       42              1309.00         1370.00         2679.00
1890-1899       43              1210.00         1499.00         2709.00
1890-1899       44              1251.00         1442.00         2693.00
1890-1899       45              1321.00         1599.00         2920.00
1890-1899       46              1272.00         1618.00         2890.00
